section,setting,dataset,task,model_source,n_conversations,user_turns,assistant_turns,passive_pct_user_turns,active_pct_user_turns,constructive_pct_user_turns,cognitive_overall_pct_user_turns,emotional_expression_pct_user_turns,scaffolded_pct_assistant_turns,notes
2.1,LMSYS coding,LMSYS,coding,LMSYS::RWKV-4-Raven-14B,412,1210,1214,0.7438,36.6116,5.5372,42.8926,0.8264,20.0988,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::alpaca-13b,1537,5116,5108,0.7037,41.1845,4.1048,45.9930,0.7623,5.1488,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::chatglm-6b,984,2994,2715,0.3340,40.6146,3.9412,44.8898,0.4342,22.7624,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::claude-1,1092,3839,3841,0.4689,43.1102,6.1214,49.7004,1.1201,39.5991,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::claude-instant-1,168,579,578,0.0000,38.5147,7.9447,46.4594,0.3454,39.1003,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::dolly-v2-12b,645,2003,2001,0.3495,33.5996,3.9940,37.9431,1.0484,4.7976,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::fastchat-t5-3b,381,1067,1066,0.6560,33.2709,4.7798,38.7067,0.4686,11.9137,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::gpt-3.5-turbo,212,633,634,0.0000,43.9179,4.5814,48.4992,1.2638,31.8612,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::gpt-4,310,1493,1506,0.4019,26.2559,4.8895,31.5472,0.5358,18.3267,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::gpt4all-13b-snoozy,227,774,765,0.7752,31.2661,4.6512,36.6925,0.2584,11.7647,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::guanaco-33b,338,1031,1026,0.4850,31.5228,5.6256,37.6334,1.6489,25.4386,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::koala-13b,2121,6846,6744,0.7157,39.0739,5.2293,45.0190,1.1540,26.9425,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::llama-13b,607,1891,1872,1.1105,29.6668,1.9038,32.6811,0.8990,7.7457,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::llama-2-13b-chat,1067,3270,3093,1.0092,42.1713,5.7492,48.9297,1.3761,43.8733,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::mpt-30b-chat,204,646,640,0.6192,30.9598,7.2755,38.8545,0.9288,31.8750,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::mpt-7b-chat,303,974,977,0.7187,36.5503,5.3388,42.6078,1.3347,15.1484,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::oasst-pythia-12b,512,1447,1450,0.6220,36.9730,5.3905,42.9855,1.1057,16.9655,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::palm-2,144,444,445,0.9009,37.6126,8.5586,47.0721,0.6757,23.8202,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::stablelm-tuned-alpha-7b,319,897,890,0.7804,37.6812,2.7871,41.2486,0.5574,16.4045,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::vicuna-13b,19066,65415,64205,0.7659,40.0627,5.7143,46.5428,0.8882,33.2248,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
2.1,LMSYS coding,LMSYS,coding,LMSYS::vicuna-33b,651,1994,1939,0.7021,36.1083,6.7202,43.5306,0.6018,26.1991,"Model/source levels are shown when at least 100 conversations are available within the setting; WildChat uses chat_model, LMSYS uses model recovered from conversation identifiers and ShareChat uses public assistant/source family."
