figure,panel,metric,unit,model_family,task,level,model_snapshot,estimate,notes
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,coding,family summary,,51.64,Family-level summary from WildChat model-family robustness analysis.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,writing,family summary,,14.01,Family-level summary from WildChat model-family robustness analysis.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,coding,family summary,,1.842,Family-level adjusted scaffolded-support association from WildChat robustness analysis.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,writing,family summary,,1.198,Family-level adjusted scaffolded-support association from WildChat robustness analysis.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,coding,family summary,,3.018,Family-level adjacent-turn constructive lift from WildChat robustness analysis.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,writing,family summary,,0.332,Family-level adjacent-turn constructive lift from WildChat robustness analysis.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,coding,family summary,,49.14,Family-level summary from WildChat model-family robustness analysis.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,writing,family summary,,16.68,Family-level summary from WildChat model-family robustness analysis.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,coding,family summary,,1.825,Family-level adjusted scaffolded-support association from WildChat robustness analysis.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,writing,family summary,,1.979,Family-level adjusted scaffolded-support association from WildChat robustness analysis.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,coding,family summary,,2.95,Family-level adjacent-turn constructive lift from WildChat robustness analysis.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,writing,family summary,,1.149,Family-level adjacent-turn constructive lift from WildChat robustness analysis.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,coding,family summary,,47.61,Family-level summary from WildChat model-family robustness analysis.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,writing,family summary,,18.36,Family-level summary from WildChat model-family robustness analysis.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,coding,family summary,,3.004,Family-level adjusted scaffolded-support association from WildChat robustness analysis.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,writing,family summary,,2.801,Family-level adjusted scaffolded-support association from WildChat robustness analysis.
